walker H2O CH4 CO2 CO log_delta log_gamma Tint Tequ log_Ptrans alpha log_g R
  15 -1.9106109874 -3.94845210576 -3.45159870042 -1.36086569706 -4.83818638141 0.609921762156 311.380299024 1721.00822089 -4.75712558776 0.59511416168 3.86828395455 1.1457502101
  16 -1.96423230779 -3.70144075613 -3.51140590465 -1.38866917594 -4.65928452494 0.450086492249 320.988076695 1711.86489244 -4.45700514003 0.892351910372 3.46948813896 1.12452738481
  17 -1.94010701473 -3.86742199485 -3.53525441342 -1.32726634508 -4.86636048818 0.579878561072 312.084455044 1718.52097321 -4.77738508148 0.546813159598 3.93529833863 1.18066838993
  18 -1.96148105689 -3.85700108754 -3.51820963692 -1.39760071356 -4.81792405658 0.544278883583 305.391807057 1714.00908232 -4.77910229543 0.395133293023 3.89107181597 1.17343158162
  19 -1.93642493979 -3.91894002439 -3.47278614327 -1.39163476871 -4.76324025688 0.562250903387 309.024624291 1716.93271661 -4.78423779398 0.498538115058 3.85495345924 1.16959228905
  20 -1.90316728484 -3.87635152445 -3.55107582755 -1.39794338159 -4.78865783429 0.561450212685 312.417746787 1720.73902872 -4.71783286654 0.462660185278 3.85591665507 1.15671081881
  21 -1.93003022029 -3.89747477671 -3.50341546233 -1.37012648495 -4.82732512607 0.548144831122 305.518912644 1721.39791731 -4.73330036994 0.585882493616 3.86675450832 1.1844239663
  22 -1.88985618678 -3.92596519566 -3.4770105958 -1.34907786394 -4.71357313592 0.599378049781 315.801129991 1722.27207762 -4.56824026639 0.531355805861 3.74180270084 1.09210055163
  23 -1.98243214372 -3.93991347723 -3.51888955167 -1.3853316763 -4.76560607369 0.608386999144 308.035816055 1715.70059228 -4.72825036429 0.601641050867 3.90221106187 1.17318822015
  24 -1.98016693881 -3.91825242622 -3.48181158558 -1.3465767799 -4.81680872538 0.555182055758 313.606688378 1715.72369041 -4.75958243737 0.542027399502 3.84111740206 1.19865563287
  25 -1.8958322905 -3.87427483757 -3.57378953587 -1.37445854286 -4.7460356808 0.637672199883 309.617709363 1723.03770084 -4.7924757986 0.559782710655 3.98322045914 1.1227899056
  26 -1.87135368842 -3.99581474783 -3.49383310826 -1.36931236806 -4.77346863276 0.525865736865 307.858929918 1715.00091327 -4.60567799502 0.477650813013 3.93849783577 1.16932272746
  27 -2.03466918702 -4.03339813505 -3.59771540173 -1.51409601809 -4.73741417922 0.617675268514 311.210145821 1721.49660947 -4.67090929432 0.630946372333 3.59532445389 1.09815837776
  28 -1.94336578849 -3.9361640363 -3.47758839807 -1.42170822322 -4.76332085858 0.596683324855 307.080740903 1717.89934579 -4.72466788935 0.575568796303 3.91890381873 1.1807454519
